application_id,parameter_id,applicable,notes
APP_AC_SPLIT,PAR_SST,YES,Target/reference values must be resolved by equipment/application conditions; do not assume a universal normal range.
APP_AC_SPLIT,PAR_SCT,YES,Target/reference values must be resolved by equipment/application conditions; do not assume a universal normal range.
APP_AC_SPLIT,PAR_EVAP_SH,YES,Target/reference values must be resolved by equipment/application conditions; do not assume a universal normal range.
APP_AC_SPLIT,PAR_TOTAL_SH,YES,Target/reference values must be resolved by equipment/application conditions; do not assume a universal normal range.
APP_AC_SPLIT,PAR_SC,YES,Target/reference values must be resolved by equipment/application conditions; do not assume a universal normal range.
APP_AC_SPLIT,PAR_EVAP_TD,YES,Target/reference values must be resolved by equipment/application conditions; do not assume a universal normal range.
APP_AC_SPLIT,PAR_COND_TD,YES,Target/reference values must be resolved by equipment/application conditions; do not assume a universal normal range.
APP_AC_SPLIT,PAR_AIR_DT,YES,Target/reference values must be resolved by equipment/application conditions; do not assume a universal normal range.
APP_AC_SPLIT,PAR_CR,YES,Target/reference values must be resolved by equipment/application conditions; do not assume a universal normal range.
APP_HP,PAR_SST,YES,Target/reference values must be resolved by equipment/application conditions; do not assume a universal normal range.
APP_HP,PAR_SCT,YES,Target/reference values must be resolved by equipment/application conditions; do not assume a universal normal range.
APP_HP,PAR_EVAP_SH,YES,Target/reference values must be resolved by equipment/application conditions; do not assume a universal normal range.
APP_HP,PAR_TOTAL_SH,YES,Target/reference values must be resolved by equipment/application conditions; do not assume a universal normal range.
APP_HP,PAR_SC,YES,Target/reference values must be resolved by equipment/application conditions; do not assume a universal normal range.
APP_HP,PAR_EVAP_TD,YES,Target/reference values must be resolved by equipment/application conditions; do not assume a universal normal range.
APP_HP,PAR_COND_TD,YES,Target/reference values must be resolved by equipment/application conditions; do not assume a universal normal range.
APP_HP,PAR_AIR_DT,YES,Target/reference values must be resolved by equipment/application conditions; do not assume a universal normal range.
APP_HP,PAR_CR,YES,Target/reference values must be resolved by equipment/application conditions; do not assume a universal normal range.
APP_WIC,PAR_SST,YES,Target/reference values must be resolved by equipment/application conditions; do not assume a universal normal range.
APP_WIC,PAR_SCT,YES,Target/reference values must be resolved by equipment/application conditions; do not assume a universal normal range.
APP_WIC,PAR_EVAP_SH,YES,Target/reference values must be resolved by equipment/application conditions; do not assume a universal normal range.
APP_WIC,PAR_TOTAL_SH,YES,Target/reference values must be resolved by equipment/application conditions; do not assume a universal normal range.
APP_WIC,PAR_SC,YES,Target/reference values must be resolved by equipment/application conditions; do not assume a universal normal range.
APP_WIC,PAR_EVAP_TD,YES,Target/reference values must be resolved by equipment/application conditions; do not assume a universal normal range.
APP_WIC,PAR_COND_TD,YES,Target/reference values must be resolved by equipment/application conditions; do not assume a universal normal range.
APP_WIC,PAR_AIR_DT,YES,Target/reference values must be resolved by equipment/application conditions; do not assume a universal normal range.
APP_WIC,PAR_CR,YES,Target/reference values must be resolved by equipment/application conditions; do not assume a universal normal range.
APP_WIF,PAR_SST,YES,Target/reference values must be resolved by equipment/application conditions; do not assume a universal normal range.
APP_WIF,PAR_SCT,YES,Target/reference values must be resolved by equipment/application conditions; do not assume a universal normal range.
APP_WIF,PAR_EVAP_SH,YES,Target/reference values must be resolved by equipment/application conditions; do not assume a universal normal range.
APP_WIF,PAR_TOTAL_SH,YES,Target/reference values must be resolved by equipment/application conditions; do not assume a universal normal range.
APP_WIF,PAR_SC,YES,Target/reference values must be resolved by equipment/application conditions; do not assume a universal normal range.
APP_WIF,PAR_EVAP_TD,YES,Target/reference values must be resolved by equipment/application conditions; do not assume a universal normal range.
APP_WIF,PAR_COND_TD,YES,Target/reference values must be resolved by equipment/application conditions; do not assume a universal normal range.
APP_WIF,PAR_AIR_DT,YES,Target/reference values must be resolved by equipment/application conditions; do not assume a universal normal range.
