temperature_f,pressure_psig
-50,-9.14
-48,-8.85
-46,-8.56
-44,-8.12
-42,-7.69
-40,-7.25
-38,-6.82
-36,-6.38
-34,-5.95
-32,-5.37
-30,-4.79
-28,-4.21
-26,-3.63
-24,-3.05
-22,-2.47
-20,-1.89
-18,-1.16
-16,-0.44
-14,0.29
-12,1.16
-10,1.89
-8,2.76
-6,3.63
-4,4.64
-2,5.51
0,6.53
2,7.54
4,8.56
6,9.57
8,10.73
10,11.89
12,13.05
14,14.36
16,15.66
18,16.97
20,18.42
22,19.87
24,21.32
26,22.92
28,24.51
30,26.11
32,27.85
34,29.44
36,31.33
38,33.07
40,34.95
42,36.98
44,39.02
46,41.05
48,43.22
50,45.4
52,47.72
54,50.04
56,52.36
58,54.97
60,57.43
62,60.05
64,62.66
66,65.41
68,68.17
70,71.07
72,74.11
74,77.16
76,80.21
78,83.4
80,86.73
82,90.07
84,93.55
86,97.03
88,100.66
90,104.28
92,108.2
94,111.97
96,115.89
98,120.09
100,124.3
102,128.5
104,132.71
106,137.21
108,141.7
110,146.49
112,151.13
114,156.06
116,160.99
118,166.07
120,171.29
122,176.51
124,181.88
126,187.39
128,193.05
130,198.7
132,204.65
134,210.59
136,216.69
138,222.92
140,229.3
142,235.83
144,242.36
146,249.03
148,255.99
150,262.95
