temperature_f,pressure_psig
-50,-3.05
-48,-2.32
-46,-1.74
-44,-0.87
-42,-0.15
-40,0.58
-38,1.45
-36,2.18
-34,3.05
-32,4.06
-30,4.93
-28,5.95
-26,6.96
-24,7.98
-22,9.14
-20,10.15
-18,11.46
-16,12.62
-14,13.92
-12,15.23
-10,16.53
-8,17.84
-6,19.44
-4,20.89
-2,22.34
0,24.08
2,25.67
4,27.41
6,29.15
8,31.04
10,32.78
12,34.81
14,36.84
16,38.87
18,40.9
20,43.08
22,45.25
24,47.57
26,50.04
28,52.36
30,54.97
32,57.58
34,60.19
36,62.95
38,65.7
40,68.6
42,71.5
44,74.55
46,77.6
48,80.79
50,84.12
52,87.46
54,90.79
56,94.42
58,98.05
60,101.67
62,105.44
64,109.36
66,113.27
68,117.34
70,121.4
72,125.75
74,130.1
76,134.6
78,139.09
80,143.59
82,148.37
84,153.3
86,158.24
88,163.31
90,168.39
92,173.76
94,179.12
96,184.63
98,190.29
100,195.95
102,201.89
104,207.69
106,213.79
108,220.02
110,226.4
112,232.93
114,239.46
116,246.13
118,253.09
120,260.05
122,267.16
124,274.41
126,281.81
128,289.21
130,297.04
132,304.72
134,312.7
136,320.82
138,329.09
140,337.5
142,346.06
144,354.76
146,363.61
148,372.6
150,381.74
