temperature_f,bubble_psig,dew_psig
-50,0.44,-3.77
-48,1.16,-3.19
-46,2.03,-2.47
-44,2.9,-1.74
-42,3.92,-1.02
-40,4.93,-0.29
-38,5.95,0.58
-36,6.96,1.45
-34,8.12,2.32
-32,9.28,3.19
-30,10.44,4.21
-28,11.6,5.22
-26,12.91,6.24
-24,14.21,7.4
-22,15.66,8.56
-20,17.11,9.72
-18,18.56,10.88
-16,20.16,12.18
-14,21.76,13.49
-12,23.35,14.94
-10,25.09,16.39
-8,26.83,17.84
-6,28.72,19.44
-4,30.6,21.03
-2,32.49,22.63
0,34.52,24.37
2,36.55,26.11
4,38.73,27.99
6,40.9,29.88
8,43.22,31.91
10,45.54,33.94
12,48.01,35.97
14,50.47,38.14
16,53.08,40.47
18,55.69,42.64
20,58.45,45.11
22,61.21,47.57
24,64.11,50.04
26,67.15,52.65
28,70.2,55.4
30,73.24,58.16
32,76.58,61.06
34,79.92,63.96
36,83.25,67.01
38,86.73,70.2
40,90.36,73.39
42,93.98,76.72
44,97.76,80.06
46,101.67,83.54
48,105.59,87.17
50,109.79,90.79
52,113.85,94.56
54,118.21,98.48
56,122.56,102.54
58,127.05,106.6
60,131.69,110.81
62,136.34,115.16
64,141.27,119.51
66,146.2,124.01
68,151.27,128.79
70,156.35,133.43
72,161.72,138.37
74,167.08,143.44
76,172.59,148.52
78,178.25,153.74
80,184.05,159.25
82,190,164.76
84,196.09,170.42
86,202.18,176.22
88,208.56,182.02
90,214.95,188.11
92,221.47,194.35
94,228.29,200.73
96,235.11,207.26
98,242.07,213.79
100,249.32,220.6
102,256.57,227.56
104,263.97,234.67
106,271.51,241.92
108,279.34,249.32
110,287.17,256.86
112,295.3,264.69
114,303.42,272.53
116,311.83,280.65
118,320.39,288.92
120,329.09,297.33
122,337.94,306.03
124,346.93,314.88
126,356.07,323.87
128,365.5,333.01
130,375.07,342.43
132,384.79,352.01
134,394.65,361.72
136,404.66,371.73
138,414.95,382.03
140,425.4,392.47
142,436.13,403.06
144,446.86,413.94
146,457.88,425.11
148,469.2,436.42
150,480.51,448.02
