temperature_f,bubble_psig,dew_psig
-40,2.4,-1.13
-35,4.6,0.8
-30,7.1,3.0
-25,9.9,5.4
-20,12.9,8.1
-15,16.2,11.0
-10,19.8,14.3
-5,23.7,17.8
0,27.9,21.7
5,32.5,25.8
10,37.5,30.4
15,42.8,35.3
20,48.5,40.7
25,54.7,46.4
30,61.3,52.6
35,68.4,59.3
40,75.9,66.4
45,84.0,74.0
50,92.6,82.2
55,101.7,90.9
60,111.4,100.2
65,121.7,110.1
70,132.6,120.7
75,144.1,131.8
80,156.3,143.7
85,169.2,156.2
90,182.8,169.5
95,197.1,183.6
100,212.2,198.4
105,228.0,214.0
110,244.7,230.5
115,262.3,247.9
120,280.7,266.2
125,300.0,285.5
130,320.2,305.8
135,341.5,327.2
140,363.7,349.6
145,387.0,373.3
150,411.4,398.2
