temperature_f,bubble_psig,dew_psig
-50,4.0,3.1
-45,6.6,5.6
-40,9.5,8.4
-35,12.7,11.4
-30,16.2,14.8
-25,20.1,18.5
-20,24.3,22.6
-15,28.9,27.0
-10,33.9,31.8
-5,39.4,37.0
0,45.3,42.7
5,51.7,48.8
10,58.5,55.4
15,66.0,62.6
20,73.9,70.3
25,82.5,78.5
30,91.7,87.4
35,101.5,96.9
40,112.0,107.0
45,123.1,117.8
50,135.0,129.3
55,147.7,141.6
60,161.1,154.6
65,175.4,168.5
70,190.5,183.1
75,206.5,198.7
80,223.4,215.2
85,241.2,232.6
90,260.1,251.0
95,279.9,270.4
100,300.8,290.9
105,322.8,312.5
110,345.9,335.2
115,370.2,359.1
120,395.7,384.3
125,422.4,410.8
130,450.5,438.7
135,479.9,468.0
140,510.7,498.8
145,543.0,531.3
150,576.8,565.4
