temperature_f,bubble_psig,dew_psig
-40,4.3,-1.5
-35,6.8,0.4
-30,9.5,2.4
-25,12.4,4.7
-20,15.7,7.2
-15,19.2,10.0
-10,23.1,13.0
-5,27.3,16.3
0,31.8,19.9
5,36.7,23.8
10,41.9,28.0
15,47.6,32.6
20,53.6,37.6
25,60.1,42.9
30,67.1,48.7
35,74.5,54.9
40,82.4,61.5
45,90.8,68.6
50,99.7,76.3
55,109.2,84.4
60,119.3,93.1
65,129.9,102.3
70,141.2,112.2
75,153.0,122.6
80,165.6,133.7
85,178.8,145.5
90,192.6,158.0
95,207.2,171.2
100,222.5,185.1
105,238.6,199.9
110,255.5,215.5
115,273.1,232.0
120,291.6,249.3
125,310.8,267.7
130,331.0,287.0
135,352.0,307.3
140,373.9,328.8
