temperature_f,pressure_psig
-50,0.87
-48,1.74
-46,2.61
-44,3.48
-42,4.35
-40,5.37
-38,6.38
-36,7.54
-34,8.56
-32,9.86
-30,10.88
-28,12.18
-26,13.49
-24,14.79
-22,16.24
-20,17.55
-18,19.14
-16,20.6
-14,22.19
-12,23.79
-10,25.53
-8,27.27
-6,29.01
-4,30.89
-2,32.78
0,34.81
2,36.84
4,38.87
6,41.05
8,43.37
10,45.69
12,48.01
14,50.47
16,53.08
18,55.55
20,58.16
22,61.06
24,63.82
26,66.72
28,69.62
30,72.66
32,75.85
34,79.05
36,82.38
38,85.72
40,89.2
42,92.68
44,96.45
46,100.08
48,103.99
50,107.91
52,111.97
54,116.18
56,120.38
58,124.59
60,129.08
62,133.58
64,138.37
66,143.01
68,147.94
70,152.87
72,157.95
74,163.17
76,168.53
78,173.9
80,179.56
82,185.21
84,191.01
86,196.96
88,202.91
90,209.14
92,215.53
94,221.91
96,228.58
98,235.25
100,242.21
102,249.17
104,256.28
106,263.53
108,271.08
110,278.62
112,286.3
114,294.28
116,302.4
118,310.53
120,318.94
122,327.64
124,336.34
126,345.19
128,354.33
130,363.61
132,373.04
134,382.75
136,392.47
138,402.48
140,412.78
142,423.22
144,433.95
146,444.83
148,455.85
150,467.31
