temperature_f,bubble_psig,dew_psig
-50,-3.88,-3.929
-45,-3.389,-3.438
-40,-2.8,-2.849
-35,-2.161,-2.21
-30,-1.424,-1.473
-25,-0.639,-0.688
-20,0.5,0.4
-15,2.4,2.4
-10,4.6,4.5
-5,7.0,6.9
0,9.6,9.5
5,12.4,12.4
10,15.5,15.5
15,18.9,18.8
20,22.5,22.4
25,26.4,26.4
30,30.7,30.6
35,35.2,35.2
40,40.1,40.1
45,45.4,45.4
50,51.1,51.0
55,57.1,57.1
60,63.5,63.5
65,70.4,70.4
70,77.7,77.7
75,85.5,85.5
80,93.8,93.8
85,102.6,102.6
90,111.9,111.9
95,121.7,121.7
100,132.1,132.1
105,143.1,143.1
110,154.7,154.7
115,166.9,166.9
120,179.8,179.7
125,193.3,193.3
130,207.5,207.5
135,222.5,222.4
140,238.2,238.1
145,254.7,254.6
150,271.9,271.8
